library_id,citation,type,title_id,version_id,jurisdiction,source,url,when_scraped,last_successful_scrape,status,error,active,source_name,source_status,content_format,content_url
200000077,Superannuation Contributions Tax (Application to the Commonwealth-Reduction of Benefits) Act 1997,primary_legislation,C2004A05167,sha256:ed56ac029ad8bdd7afc322c87b2ae3d2262b694631f27f123d99d1e77f6c0206,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A05167/latest/text,2025-12-27T05:15:50.960268Z,2025-12-27T05:15:52.596663Z,ok,,in force,Superannuation Contributions Tax (Application to the Commonwealth—Reduction of Benefits) Act 1997,InForce,html,https://www.legislation.gov.au/C2004A05167/2005-08-12/2005-08-12/text/original/epub/OEBPS/document_1/document_1.html
200000078,Superannuation Contributions Tax (Assessment and Collection) Act 1997,primary_legislation,C2004A05168,sha256:cbdfd53d1ff28bbce19807e9af9bc721859d9de6d4b21fa695365544f8ff1ec5,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A05168/latest/text,2025-12-27T05:15:52.598122Z,2025-12-27T05:15:54.292292Z,ok,,in force,Superannuation Contributions Tax (Assessment and Collection) Act 1997,InForce,html,https://www.legislation.gov.au/C2004A05168/2023-10-20/2023-10-20/text/original/epub/OEBPS/document_1/document_1.html
200000079,Superannuation Contributions Tax (Members of constitutionally Protected Superannuation Funds) Assessment and Collection Act 1997,primary_legislation,C2004A05279,sha256:3ac18b837996f41e240b8eb5018b5a2633f37e74745b6c60be183b28b31e0fb2,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A05279/latest/text,2025-12-27T05:15:54.293580Z,2025-12-27T05:15:55.915856Z,ok,,in force,Superannuation Contributions Tax (Members of Constitutionally Protected Superannuation Funds) Assessment and Collection Act 1997,InForce,html,https://www.legislation.gov.au/C2004A05279/2022-09-28/2022-09-28/text/original/epub/OEBPS/document_1/document_1.html
200000080,Superannuation Contributions Tax (Members of Constitutionally Protected Superannuation Funds) Imposition Act 1997,primary_legislation,C2004A05278,sha256:04c070d56e5c81f11b57b30374960a380ffd176d2eb081b6d2f80374fe38e429,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A05278/latest/text,2025-12-27T05:15:55.917270Z,2025-12-27T05:15:57.481007Z,ok,,in force,Superannuation Contributions Tax (Members of Constitutionally Protected Superannuation Funds) Imposition Act 1997,InForce,html,https://www.legislation.gov.au/C2004A05278/2005-08-12/2005-08-12/text/original/epub/OEBPS/document_1/document_1.html
200000081,Superannuation Contributions Tax Imposition Act 1997,primary_legislation,C2004A05170,sha256:4e2c337c0f7181e448deacc4f023b6788ab3f4c42636455495541f7ec8e65da8,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A05170/latest/text,2025-12-27T05:15:57.482293Z,2025-12-27T05:15:59.123529Z,ok,,in force,Superannuation Contributions Tax Imposition Act 1997,InForce,html,https://www.legislation.gov.au/C2004A05170/2005-08-12/2005-08-12/text/original/epub/OEBPS/document_1/document_1.html
200000082,Tax Agent Services Act 2009,primary_legislation,C2009A00013,sha256:762137868093260bfbed089bf9341d438bb456b27d9a89f4f8cfe905d69e48e5,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2009A00013/latest/text,2025-12-27T05:15:59.125071Z,2025-12-27T05:16:00.996065Z,ok,,in force,Tax Agent Services Act 2009,InForce,html,https://www.legislation.gov.au/C2009A00013/2025-02-21/2025-02-21/text/original/epub/OEBPS/document_1/document_1.html
200000083,Taxation (Interest on Non-Resident Trust Distributions) Act 1990,primary_legislation,C2004A04055,sha256:80cff77adf8422272c6d64b3f97b7a75acde52706a6e476847f73c24719dfa14,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A04055/latest/text,2025-12-27T05:16:00.997594Z,2025-12-27T05:16:02.427261Z,ok,,in force,Taxation (Interest on Non-resident Trust Distributions) Act 1990,InForce,html,https://www.legislation.gov.au/C2004A04055/asmade/1990-12-28/text/original/epub/OEBPS/document_1/document_1.html
200000084,Taxation (Interest on Overpayments and Early Payments) Act 1983,primary_legislation,C2004A02729,sha256:b9416871ccdb5c97f7b40c309ea39c02220ad9db965c463c22cd9ef624b4bd1c,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A02729/latest/text,2025-12-27T05:16:02.428551Z,2025-12-27T05:16:04.160072Z,ok,,in force,Taxation (Interest on Overpayments) Act 1983,InForce,html,https://www.legislation.gov.au/C2004A02729/2024-10-14/2024-10-14/text/original/epub/OEBPS/document_1/document_1.html
200000085,Taxation (Interest on Overpayments and Early Payments) Regulations 2018,secondary_legislation,F2018L01288,sha256:5927647b2ef1335362440e4c866921625c26c5fcde0ebcca3fe2c55c40886536,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/F2018L01288/latest/text,2025-12-27T05:16:04.161422Z,2025-12-27T05:16:05.747533Z,ok,,in force,Taxation (Interest on Overpayments and Early Payments) Regulations 2018,InForce,html,https://www.legislation.gov.au/F2018L01288/asmade/2018-09-14/text/original/epub/OEBPS/document_1/document_1.html
200000086,Taxation Administration Act 1953,primary_legislation,C1953A00001,sha256:d82291f3fd675764598b0fe79fe7ad6504deaa4f23bf85b6c8e370dd951f06ba,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C1953A00001/latest/text,2025-12-27T05:16:05.749322Z,2025-12-27T05:16:08.436837Z,ok,,in force,Taxation Administration Act 1953,InForce,html,https://www.legislation.gov.au/C1953A00001/2025-08-03/2025-08-03/text/1/epub/OEBPS/document_1/document_1.html
200000087,Taxation Administration Regulations 2017,secondary_legislation,F2017L01227,sha256:7e6c8551b5482fdbf1b5b57e487cb82442afa2c10b7c57d16a95dc8cb17c6132,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/F2017L01227/latest/text,2025-12-27T05:16:08.438299Z,2025-12-27T05:16:09.805626Z,ok,,in force,Taxation Administration Regulations 2017,InForce,html,https://www.legislation.gov.au/F2017L01227/2025-01-01/2025-01-01/text/original/epub/OEBPS/document_1/document_1.html
200000088,Trust Recoupment Tax Act 1985,primary_legislation,C2004A03042,sha256:1ba7bbc272fb79dcf7311d0dd6073800cc0d556bd6415c6a32ac75060e95b037,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A03042/latest/text,2025-12-27T05:16:09.807064Z,2025-12-27T05:16:11.343798Z,ok,,in force,Trust Recoupment Tax Act 1985,InForce,html,https://www.legislation.gov.au/C2004A03042/2014-06-25/2014-06-25/text/original/epub/OEBPS/document_1/document_1.html
200000089,Trust Recoupment Tax Assessment Act 1985,primary_legislation,C2004A03048,sha256:157e9c34dad1522d15313c60f4ffd08326e646d0f895d8c5188b018467b8df83,commonwealth,federal_register_of_legislation,https://www.legislation.gov.au/C2004A03048/latest/text,2025-12-27T05:16:11.345490Z,2025-12-27T05:16:14.613522Z,ok,,in force,Trust Recoupment Tax Assessment Act 1985,InForce,html,https://www.legislation.gov.au/C2004A03048/2016-10-21/2016-10-21/text/original/epub/OEBPS/document_1/document_1.html
