library_id,citation,type,title_id,version_id,jurisdiction,source,url,when_scraped,last_successful_scrape,status,error,active,source_name,source_status
400000000,,primary_legislation,,,northern_territory,northern_territory_legislation,,,,,,,,
400000001,,secondary_legislation,,,,,,,,,,,,
