library_id,citation,type,title_id,version_id,jurisdiction,topic,source,url,when_scraped,last_successful_scrape,status,error,source_status,content_format,government_register_url,content_url
100000023,Commonwealth of Australia Constitution Act,primary_legislation,C2004Q00685,austlii:sha256:25ab6626281bf34aac437bd06bb6997cb02a3aa61148e32149efc059726cb507,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/coaca430/,2025-12-29T23:11:52.234673Z,2025-12-29T23:13:22.327650Z,ok,,InForce,text,https://www.legislation.gov.au/C2013Q00005/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/coaca430.txt
100000024,Commonwealth Places (Mirror Taxes Administration) Act 1998,primary_legislation,fmt:v2|1998-11-02,austlii:sha256:36173b5949d8e098ca49cb7e2392111bffe299d860f601648e9b8889c3d6807c,new_south_wales,other,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_act/cptaa1998502/,2025-12-29T23:13:22.329290Z,2025-12-29T23:14:52.290033Z,ok,,InForce,text,https://legislation.nsw.gov.au/view/html/inforce/current/act-1998-100,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_act/cptaa1998502.txt
100000025,Commonwealth Places (Mirror Taxes Administration) Act 1999,primary_legislation,12,austlii:sha256:1243a5f2079d0a77a9022b68c35c6fe77a74be53736171d40c031e494ba67c83,victoria,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/vic/consol_act/cptaa1999502/,2025-12-29T23:14:52.291605Z,2025-12-29T23:16:22.241096Z,ok,,InForce,text,https://www.legislation.vic.gov.au/in-force/acts/commonwealth-places-mirror-taxes-administration-act-1999/,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/vic/consol_act/cptaa1999502.txt
100000026,Commonwealth Places (Mirror Taxes) Act 1998,primary_legislation,C2004A05335,austlii:sha256:a8911b924ec93d7d3a5e630a17729b4c02128658afd42f7a829fa919408c9cc3,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/cpta1998350/,2025-12-29T23:16:22.242665Z,2025-12-29T23:17:52.259183Z,ok,,InForce,text,https://www.legislation.gov.au/C2004A05335/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/cpta1998350.txt
100000027,Commonwealth Places (Mirror Taxes) Regulations 2000,secondary_legislation,F2000B00069,austlii:sha256:c865ae0747009aaa1e46e0d7647d89bb6c8d1c8e88bcd4a5885fde749158f402,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_reg/cptr2000459/,2025-12-29T23:17:52.260926Z,2025-12-29T23:19:22.248530Z,ok,,InForce,text,https://www.legislation.gov.au/F2000B00069/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_reg/cptr2000459.txt
100000028,Commonwealth Places Windfall Tax (Collection) Act 1998,primary_legislation,C2004A05336,austlii:sha256:738441a14cc6535b42fa72fbad73740bb4a813684db2f58bc186f599a9f0411d,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/num_act/cpwta1998414/,2025-12-29T23:19:22.250134Z,2025-12-29T23:20:52.250199Z,ok,,InForce,text,https://www.legislation.gov.au/C2004A05336/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/num_act/cpwta1998414.txt
100000029,Commonwealth Places Windfall Tax (Imposition) Act 1998,primary_legislation,C2004A05337,austlii:sha256:d28c057d9d78ddf6441b3debe6d0a42d21441e012e6fb928a70069c41160b865,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/num_act/cpwta1998445/,2025-12-29T23:20:52.251827Z,2025-12-29T23:22:22.224181Z,ok,,InForce,text,https://www.legislation.gov.au/C2004A05337/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/num_act/cpwta1998445.txt
100000030,Corporations Act 2001,primary_legislation,C2004A00818,austlii:sha256:065321e2bb266d3b7e2fb0dcc2705cc8b8742f299ebca579f08506faff873af0,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/ca2001172/,2025-12-29T23:22:22.225799Z,2025-12-29T23:23:55.226419Z,ok,,InForce,text,https://www.legislation.gov.au/C2004A00818/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/ca2001172.txt
100000031,Cost of Living Concessions Act 1986,primary_legislation,fmt:v2|2015-06-30,austlii:sha256:a2b743cb07a6e6c5340cd2b37e733e181282136983ba0cfc22ba68d06c31c341,south_australia,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/sa/consol_act/colca1986284/,2025-12-29T23:23:55.228133Z,2025-12-29T23:25:22.274880Z,ok,,InForce,text,https://www.legislation.sa.gov.au/lz?path=%2FC%2FA%2FCost%20of%20Living%20Concessions%20Act%201986,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/sa/consol_act/colca1986284.txt
100000032,Crimes (Taxation Offences) Act 1980,primary_legislation,C2004A02357,austlii:sha256:94844b8bfde2d4d4a48b69b480d90af16f81442da1757ab0ae5aa7229ec829ba,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/coa1980243/,2025-12-29T23:25:22.276500Z,2025-12-29T23:26:52.268546Z,ok,,InForce,text,https://www.legislation.gov.au/C2004A02357/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/coa1980243.txt
