library_id,citation,type,title_id,version_id,jurisdiction,topic,source,url,when_scraped,last_successful_scrape,status,error,source_status,content_format,government_register_url,content_url
100000087,Income Tax (Labour Mobility Program Withholding Tax) Act 2012,primary_legislation,C2012A00059,austlii:sha256:5d6bcf8cca1976f1d24cccc09d4434351232ae494956ec2cda025d182fc487cc,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/itmpwta2012517/,,,,,InForce,text,https://www.legislation.gov.au/C2012A00059/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/itmpwta2012517.txt
100000088,Income Tax (Managed Investment Trust Transitional) Act 2008,primary_legislation,C2008A00030,austlii:sha256:0e6b4a6a5a3d16ef53f27f8dc6c2a64f06335a45aa96d8fb31065595ea16f21f,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/num_act/ititta2008518/,,,,,InForce,text,https://www.legislation.gov.au/C2008A00030/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/num_act/ititta2008518.txt
100000089,Income Tax (Managed Investment Trust Withholding Tax) Act 2008,primary_legislation,C2008A00031,austlii:sha256:900ec24bdc503a7534762b680597876314fc367abc8d3281f01c78dac79ebb73,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/ititwta2008538/,,,,,InForce,text,https://www.legislation.gov.au/C2008A00031/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/ititwta2008538.txt
100000090,Income Tax (Mining Withholding Tax) Act 1979,primary_legislation,C2004A02038,austlii:sha256:13033eb131c774e200e917ca7689ad7cc88f7d9679062d6b78696ff2723ea050,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/num_act/itwta1979336/,,,,,InForce,text,https://www.legislation.gov.au/C2004A02038/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/num_act/itwta1979336.txt
100000091,Income Tax (Offshore Banking Units) (Withholding Tax Recoupment) Act 1988,primary_legislation,C2004A03605,austlii:sha256:a662b21a174727de832f73d3c8bd587c5cd44df520e3418a0ce820b94125dd62,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/itbutra1988609/,,,,,InForce,text,https://www.legislation.gov.au/C2004A03605/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/itbutra1988609.txt
100000092,Income Tax (TFN Withholding Tax (ESS)) Act 2009,primary_legislation,C2009A00132,austlii:sha256:79bb92f006877e39318a9c4eb2099f8436030b8f52d0a9a2c7546962d8715c2f,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/itwta2009353/,,,,,InForce,text,https://www.legislation.gov.au/C2009A00132/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/itwta2009353.txt
100000093,Income Tax Act 1986,primary_legislation,C2004A03349,austlii:sha256:f975cd3f5dbaf064a6715112802044697720aaa6865a9fa974396f86c4eea796,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/ita1986116/,,,,,InForce,text,https://www.legislation.gov.au/C2004A03349/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/ita1986116.txt
100000094,Income Tax Assessment Act 1936,primary_legislation,C1936A00027,austlii:sha256:1a8e98f8ea1c882780d15228a330b11bcc7db2cb8636cf1babe19e6617978f0e,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/itaa1936240/,,,,,InForce,text,https://www.legislation.gov.au/C1936A00027/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/itaa1936240.txt
100000095,Income Tax Assessment Act 1997,primary_legislation,C2004A05138,austlii:sha256:efdf8b3262291cdda1b476972fe5457a243844d00f33fe6d6ec748f4785e4d87,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/itaa1997240/,,,,,InForce,text,https://www.legislation.gov.au/C2004A03348/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/itaa1997240.txt
100000096,Income Tax Rates Act 1986,primary_legislation,C2025C00288,austlii:sha256:e0b75161f0eb72031c0c7882be837c57b4eeed6fef5e00d2bf073a66e86fa3fb,commonwealth,federal_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/num_act/itra1986174/,,,,,InForce,text,https://www.legislation.gov.au/C2004A05138/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/num_act/itra1986174.txt
100000097,Inspector-General of Taxation Act 2003,primary_legislation,C2004A01106,austlii:sha256:fb4a97cc8c598da1da64fd982822984eee92cd9212465c1080a66d6794bf56d5,commonwealth,other,classic_austlii,https://classic.austlii.edu.au/au/legis/cth/consol_act/iota2003301/,,,,,InForce,text,https://www.legislation.gov.au/C2004A01106/latest/text,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/cth/consol_act/iota2003301.txt
100000098,Insurance Protection Tax Act 2001,primary_legislation,fmt:v2|2024-08-20,austlii:sha256:7f891a667dd86c9a2ce84cff42542132292cce30df4b2f3e31d2aa22617be4b4,new_south_wales,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_act/ipta2001283/,,,,,InForce,text,https://legislation.nsw.gov.au/view/html/inforce/current/act-2001-040,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_act/ipta2001283.txt
100000099,Interpretation Act 1978,primary_legislation,reprint:REPI005,austlii:sha256:5ede1a90c51c4d6b367b725c9aa0184b9949e03d4a51ed0eada586626bd21ee2,northern_territory,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/nt/consol_act/ia1978191/,,,,,InForce,text,https://legislation.nt.gov.au/Legislation/INTERPRETATION-ACT-1978,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nt/consol_act/ia1978191.txt
100000100,Interpretation Act 1984,primary_legislation,fmt:v2|currency_start:2025-12-18|suffix:07-k0-00,austlii:sha256:4acfda90d7c3fd316ecc541a9fbbdfe0078db2ff3cc402d9bf3f249ac594658d,western_australia,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/wa/consol_act/ia1984191/,,,,,InForce,text,https://www.legislation.wa.gov.au/legislation/statutes.nsf/law_a384.html&view=consolidated,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/wa/consol_act/ia1984191.txt
100000101,Interpretation Act 1987,primary_legislation,fmt:v2|2024-11-21,austlii:sha256:3bcd7519503701a5b45c7e1d307b03e8890821aafd02aff39196b5c5d7b8b0d7,new_south_wales,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/nsw/consol_act/ia1987191/,,,,,InForce,text,https://legislation.nsw.gov.au/view/whole/html/inforce/current/act-1987-015,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/nsw/consol_act/ia1987191.txt
100000102,Interpretation of Legislation Act 1984,primary_legislation,133,austlii:sha256:932bbea506e8338761f058ea03a27300d448b33fa66e0e3d1ad43a815200fcd5,victoria,Other,classic_austlii,https://classic.austlii.edu.au/au/legis/vic/consol_act/iola1984322/,,,,,InForce,text,https://www.legislation.vic.gov.au/in-force/acts/interpretation-legislation-act-1984/,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/vic/consol_act/iola1984322.txt
100000103,Land Tax Act 1936,primary_legislation,fmt:v2|2025-12-03,austlii:sha256:499791a9df3fb7335b5bbf28ae30068b45374fe63542386fe88bf956e4354591,south_australia,land_tax,classic_austlii,https://classic.austlii.edu.au/au/legis/sa/consol_act/lta193690/,,,,,InForce,text,https://www.legislation.sa.gov.au/lz?path=/c/a/land%20tax%20act%201936,https://classic.austlii.edu.au/cgi-bin/download.cgi/cgi-bin/download.cgi/download/au/legis/sa/consol_act/lta193690.txt
